gene,mean_cnc,mean_schwann,log2FC,pvalue
PARL,0.3870967741935484,0.45454545454545453,-0.23172973288400778,0.6522515556413049
SNX3,2.225806451612903,2.0,0.15432807321114517,0.652319703528002
CKLF,0.7741935483870968,0.6590909090909091,0.23221648840894388,0.6525211756395508
PCTP,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6539438449242686
FAM83D,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6539438449242686
ZNF268,0.22580645161290322,0.1590909090909091,0.5052326289739852,0.6541211158089681
SOCS3,0.22580645161290322,0.1590909090909091,0.5052326289739852,0.6541211158089684
NDUFAF6,0.25806451612903225,0.3181818181818182,-0.30211855755201933,0.6541951322836883
ST3GAL1,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6546072974674941
ACAD9,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6546072974674941
CUEDC2,2.6129032258064515,2.340909090909091,0.15858471979749034,0.6549574986212019
STX5,0.4838709677419355,0.4090909090909091,0.24220035739973111,0.6551859304448926
THOC6,0.3225806451612903,0.38636363636363635,-0.2602986997942516,0.6552080125220683
NYNRIN,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6556629361490611
